date,t_mean,t_max,t_min,rh_mean,app_t_mean,app_t_max,hours_above_32,city
2015-02-07,25.491666666666664,31.6,19.1,62.125,27.066666666666663,32.9,0,madurai
2015-02-07,24.116666666666664,30.3,18.6,63.16666666666666,25.48333333333333,31.9,0,salem
2015-02-07,24.825,30.7,19.5,67.83333333333333,26.35,32.5,0,trichy
2015-02-08,24.6,28.7,20.9,69.58333333333333,26.370833333333337,31.1,0,chennai
2015-02-08,23.71666666666667,30.2,17.8,60.91666666666666,24.5,31.6,0,coimbatore
2015-02-08,25.1875,31.8,18.6,62.458333333333336,26.67083333333333,33.1,0,madurai
2015-02-08,24.120833333333337,30.8,18.4,61.5,25.325,31.8,0,salem
2015-02-08,24.64583333333333,30.8,18.7,68.58333333333333,26.229166666666668,32.7,0,trichy
2015-02-09,24.666666666666668,28.4,22.1,65.66666666666667,25.725,30.0,0,chennai
2015-02-09,23.391666666666666,30.2,17.4,59.41666666666666,23.70833333333333,30.7,0,coimbatore
2015-02-09,25.304166666666664,31.2,19.0,65.33333333333333,27.08333333333333,33.6,0,madurai
2015-02-09,23.90416666666667,30.0,18.9,63.458333333333336,25.1875,31.5,0,salem
2015-02-09,24.84583333333333,30.5,19.8,68.70833333333333,26.304166666666664,31.5,0,trichy
2015-02-10,24.6625,28.4,21.8,65.0,25.34583333333333,29.0,0,chennai
2015-02-10,23.475,30.2,16.9,60.958333333333336,24.191666666666663,31.6,0,coimbatore
2015-02-10,25.5,29.5,21.3,64.625,27.4625,32.1,0,madurai
2015-02-10,23.89583333333333,30.3,17.4,66.29166666666667,25.3375,32.0,0,salem
2015-02-10,24.929166666666664,29.0,21.0,66.83333333333333,26.129166666666663,30.6,0,trichy
2015-02-11,24.58333333333333,27.5,21.4,77.04166666666667,26.666666666666668,29.6,0,chennai
2015-02-11,24.20833333333333,30.4,19.0,61.583333333333336,25.2625,31.4,0,coimbatore
2015-02-11,26.5625,32.2,21.1,62.083333333333336,28.34583333333333,33.2,1,madurai
2015-02-11,24.9125,31.1,18.6,63.875,26.625,33.1,0,salem
2015-02-11,26.1125,31.9,21.2,66.08333333333333,27.84583333333333,33.7,0,trichy
2015-02-12,25.52916666666667,29.5,22.5,73.125,27.65833333333333,32.1,0,chennai
2015-02-12,24.47083333333333,30.7,19.5,63.29166666666666,25.725,32.2,0,coimbatore
2015-02-12,26.77916666666667,32.2,22.6,67.16666666666667,29.316666666666663,34.3,1,madurai
2015-02-12,25.875,31.4,21.8,62.708333333333336,27.83333333333333,33.4,0,salem
2015-02-12,26.495833333333337,30.9,23.5,68.875,28.566666666666663,32.0,0,trichy
2015-02-13,25.329166666666666,30.3,20.7,73.33333333333333,28.133333333333336,34.2,0,chennai
2015-02-13,25.09166666666667,31.1,19.5,59.5,26.5,33.4,0,coimbatore
2015-02-13,26.7375,32.7,21.6,65.625,29.39583333333333,35.1,3,madurai
2015-02-13,25.9375,32.2,20.2,62.875,28.28333333333333,36.0,1,salem
2015-02-13,26.729166666666668,32.6,22.2,67.125,29.1875,35.8,3,trichy
2015-02-14,24.820833333333336,30.9,19.3,76.375,27.7125,34.7,0,chennai
2015-02-14,25.5,32.0,19.5,58.29166666666666,27.008333333333336,33.8,0,coimbatore
2015-02-14,27.204166666666666,33.6,22.8,65.41666666666667,30.23333333333333,36.4,5,madurai
2015-02-14,26.954166666666666,33.2,21.9,58.29166666666666,29.2625,35.8,5,salem
2015-02-14,26.95,33.3,22.8,65.79166666666667,29.729166666666668,36.4,5,trichy
2015-02-15,25.25,31.6,20.5,74.5,27.8625,34.7,0,chennai
2015-02-15,25.79583333333333,32.3,19.1,48.66666666666666,26.27916666666667,32.8,1,coimbatore
2015-02-15,26.975,33.8,21.2,56.083333333333336,28.616666666666664,34.7,6,madurai
2015-02-15,26.766666666666666,33.3,21.0,49.54166666666666,27.891666666666666,35.0,5,salem
2015-02-15,26.17083333333333,33.3,19.9,62.0,27.925,34.8,5,trichy
2015-02-16,25.22083333333333,30.7,21.4,76.16666666666667,28.15416666666667,34.3,0,chennai
2015-02-16,24.675,32.0,17.7,46.583333333333336,24.325,31.6,0,coimbatore
2015-02-16,26.504166666666663,33.4,20.6,55.708333333333336,28.02083333333333,34.3,4,madurai
2015-02-16,26.266666666666666,32.8,20.3,48.375,26.96666666666667,33.8,3,salem
2015-02-16,25.829166666666666,32.7,20.5,63.16666666666666,27.8,34.8,3,trichy
2015-02-17,24.7,30.8,20.0,76.79166666666667,27.6375,34.4,0,chennai
2015-02-17,25.52083333333333,32.4,19.9,41.083333333333336,25.1875,32.4,2,coimbatore
2015-02-17,26.266666666666666,33.4,20.7,57.75,27.808333333333337,33.7,4,madurai
2015-02-17,26.59583333333333,33.7,20.4,44.875,26.979166666666668,33.8,5,salem
2015-02-17,25.4625,32.9,19.9,63.208333333333336,27.195833333333336,34.4,3,trichy
2015-02-18,24.55,30.2,19.2,76.08333333333333,26.7,32.4,0,chennai
2015-02-18,25.475,32.2,19.6,43.75,25.387500000000003,32.6,2,coimbatore
2015-02-18,26.05,32.6,21.0,58.5,27.879166666666663,34.1,3,madurai
