date,tn_peak_demand_mw,tn_shortage_at_peak_mw,tn_energy_gwh,t_mean,t_max,t_min,rh_mean,app_t_mean,app_t_max,hours_above_32,cdd,cdd_max,cdd_apparent,thi,dow,is_weekend,is_holiday,day_before_holiday,day_after_holiday,holiday_name,pongal_window,sin1,cos1,sin2,cos2,trend,peak_lag_1,peak_lag_2,peak_lag_3,peak_lag_7,peak_lag_14,peak_lag_364,peak_roll_mean_7,peak_roll_std_7,peak_roll_mean_30,peak_roll_std_30,peak_lag_1_diff,peak_lag_1_vs_week,energy_lag_1,energy_lag_2,energy_lag_7,energy_lag_14,energy_roll_mean_7,energy_roll_std_7,energy_roll_mean_30,energy_roll_std_30,cdd_lag1,cdd_max_lag1,thi_lag1,sr_max_demand_mw_lag1,sr_wind_gwh_lag1,sr_solar_gwh_lag1,sr_peak_shortage_mw_lag1
2026-04-03,19920.0,0.0,426.83,30.149583333333325,35.924,25.268,61.18416666666667,33.77408333333334,39.988,7.32,5.149583333333325,10.924,8.774083333333337,26.808599432118047,4.0,0.0,1.0,0.0,0.0,Good Friday,0.0,0.9995786855478958,-0.029025013321975237,-0.05802556932878035,-0.9983150972033183,4839.0,20040.0,19020.0,19828.0,20146.0,18085.0,17332.0,19463.571428571428,850.5650782751308,18884.566666666666,1005.2051320358702,1020.0,-106.0,419.95,411.32,428.27,375.77,416.1171428571429,11.74517307135399,398.334,18.72294270267274,4.65175,10.578000000000003,26.290934019270832,70698.0,39.6,186.5,0.0
2026-04-04,19556.0,0.0,424.48,30.069416666666665,36.178,26.032,64.37833333333333,34.02991666666667,40.205999999999996,6.36,5.069416666666665,11.177999999999997,9.029916666666672,27.01906952784722,5.0,1.0,0.0,0.0,1.0,None,0.0,0.9989315138848577,-0.046215046983708354,-0.09233133369539122,-0.9957283388645872,4840.0,19920.0,20040.0,19020.0,19779.0,18147.0,16947.0,19431.285714285714,824.2256394714543,18945.1,1011.240151906352,-120.0,141.0,426.83,419.95,420.38,381.57,415.9114285714286,11.507039046553912,400.10633333333334,18.823032201631204,5.149583333333325,10.924,26.808599432118047,71210.0,40.65,175.49,0.0
2026-04-05,17680.0,0.0,379.19,30.874833333333335,36.812000000000005,26.82,63.0925,35.10425,41.15,8.02,5.874833333333335,11.812000000000005,10.10425,27.550885446458334,6.0,1.0,0.0,0.0,0.0,None,0.0,0.9979887423155984,-0.06339140486951038,-0.12652781683868314,-0.9919630595773397,4841.0,19556.0,19920.0,20040.0,17717.0,16248.0,15230.0,19399.428571428572,812.7762826968469,18962.566666666666,1017.3001348509762,-364.0,1839.0,424.48,426.83,392.42,354.52,416.4971428571429,11.870990852047353,401.41499999999996,19.1148833057482,5.069416666666665,11.177999999999997,27.01906952784722,71004.0,62.26,150.16,0.0
2026-04-06,19153.0,0.0,388.51,30.286083333333334,35.212,25.798,66.4275,34.716,40.274,8.120000000000001,5.286083333333334,10.212000000000003,9.716000000000001,27.3712027784375,0.0,0.0,0.0,0.0,0.0,None,0.0,0.9967506498213929,-0.08054900421874167,-0.16057454459499376,-0.9870237158387383,4842.0,17680.0,19556.0,19920.0,19715.0,18955.0,17791.0,19394.14285714286,825.5609060051404,18878.2,1015.1430475044085,-1876.0,-2035.0,379.19,424.48,416.46,389.51,414.60714285714283,16.495615290415643,400.452,19.491546779600224,5.874833333333335,11.812000000000005,27.550885446458334,64875.0,93.04,155.08,0.0
2026-04-07,19795.0,0.0,408.54,30.63258333333334,36.336000000000006,26.41,64.90166666666667,34.769333333333336,40.89,8.52,5.63258333333334,11.336000000000006,9.769333333333336,27.518336002847228,1.0,0.0,0.0,0.0,0.0,None,0.0,0.9952176027737294,-0.09768276782171598,-0.19443122004766195,-0.9809161537413774,4843.0,19153.0,17680.0,19556.0,19828.0,19219.0,18235.0,19313.85714285714,816.4337957589411,18869.666666666668,1011.5970416685828,1473.0,-675.0,388.51,379.19,424.02,408.62,410.6142857142857,19.142706929044905,399.8813333333334,19.585111645334027,5.286083333333334,10.212000000000003,27.3712027784375,67871.0,112.34,164.56,0.0
2026-04-08,20224.0,0.0,421.5,30.532000000000004,35.948,25.659999999999997,64.75666666666666,34.62108333333334,40.29,8.96,5.532000000000004,10.948,9.621083333333338,27.42438384,2.0,0.0,0.0,0.0,0.0,None,0.0,0.9933900548258936,-0.11478762552212701,-0.2280577712215198,-0.9736476020539838,4844.0,19795.0,19153.0,17680.0,19020.0,19336.0,18570.0,19309.14285714286,813.0585113368852,18959.366666666665,968.0020120858718,642.0,775.0,408.54,388.51,411.32,405.48,408.4028571428571,18.20721442568124,401.0556666666666,18.983919090173636,5.63258333333334,11.336000000000006,27.518336002847228,69853.0,81.86,185.29,0.0
2026-04-09,20349.0,0.0,427.37,30.554500000000004,35.788000000000004,25.633999999999997,65.23916666666666,34.65091666666667,40.202,9.079999999999998,5.554500000000004,10.788000000000004,9.650916666666667,27.485127106875,3.0,0.0,0.0,0.0,0.0,None,0.0,0.9912685467787256,-0.13185851571739118,-0.2614143985111562,-0.965226663665613,4845.0,20224.0,19795.0,19153.0,20040.0,19424.0,18799.0,19481.14285714286,867.2424552515316,18999.233333333334,995.1730982107091,429.0,184.0,421.5,408.54,419.95,411.11,409.85714285714283,18.873423743703743,401.90299999999996,19.31852838507068,5.532000000000004,10.948,27.42438384,69736.0,55.81,182.46,0.0
2026-04-10,20381.0,0.0,430.54,31.034583333333334,36.222,26.582,64.59916666666666,35.378,40.662000000000006,9.16,6.034583333333334,11.222000000000001,10.378,27.815224174826387,4.0,0.0,0.0,0.0,0.0,None,0.0,0.9888537064205885,-0.1488903868564548,-0.2944616217868012,-0.9556633054034704,4846.0,20349.0,20224.0,19795.0,19920.0,20146.0,17936.0,19525.285714285714,907.3653645374275,19058.7,1021.2895550099515,125.0,429.0,427.37,421.5,426.83,428.27,410.9171428571429,19.72395304723166,402.95799999999997,19.826756981741866,5.554500000000004,10.788000000000004,27.485127106875,71882.0,48.63,169.54,0.0
2026-04-11,20227.0,0.0,435.3,31.19441666666667,36.794,26.555999999999997,62.355,35.30666666666667,41.012,9.68,6.194416666666669,11.793999999999997,10.306666666666672,27.737879431875,5.0,1.0,0.0,0.0,0.0,None,0.0,0.986146248341595,-0.16587819893463143,-0.3271603271220951,-0.9449688462364056,4847.0,20381.0,20349.0,20224.0,19556.0,19779.0,17631.0,19591.14285714286,956.2042021402738,19107.033333333333,1048.9736357534275,32.0,825.0,430.54,427.37,424.48,420.38,411.44714285714286,20.26522942898498,404.0986666666667,20.40755315431948,6.034583333333334,11.222000000000001,27.815224174826387,74443.0,51.15,167.4,0.0
2026-04-12,18741.0,0.0,400.99,30.891916666666667,36.172000000000004,26.194000000000003,61.10916666666666,34.581,39.16,9.06,5.891916666666667,11.172000000000004,9.581000000000003,27.385692521631942,6.0,1.0,0.0,0.0,0.0,None,0.0,0.9831469737221499,-0.1828169249850199,-0.3594718130884232,-0.9331559438780432,4848.0,20227.0,20381.0,20349.0,17680.0,17717.0,16487.0,19687.0,985.2848995765569,19138.066666666666,1068.3495144649492,-154.0,2547.0,435.3,430.54,379.19,392.42,412.99285714285713,21.78093946112971,405.098,21.188521681177388,6.194416666666669,11.793999999999997,27.737879431875,72976.0,32.16,170.0,0.0
